PARTICIPANT|SENTNUM|SENTENCE|CODE|COMPILED
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|1|Water temps is low weaker trade winds in 1998.|1
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|2| Coral bleaching in per year is 73 in 1998.|50
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|3|These animals live in colonies and tend to stay in one place.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|4|And most coral eat sugars made by algae.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|5|These algae create sugars from sunlight by the process of photosynthesis.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|6|The process requires both carbon dioxide and water to make sugars and release oxygen.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|7|The different types of algae living within the coral polyps give the corals their colors.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|8|However, some coral have lost their color and been bleached a plain white.|50
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|9|This is called coral bleaching, and coral bleaching happens most in the Pacific Ocean.|50
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|10|This ocean covers about 1/3 of the surface of the entire globe and contains double the amount of water found in the Atlantic Ocean.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|11|Fisherman have worked along the Pacific coastal regions of South America for centuries.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|12|They have known about changes in wind life.|bck
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|13|At times, these variations are more drastic than normal.|nd
EBA1_PRE_CB_Baldwin_9_2_essay_03464_F|14|This was the case in an event that occurred in 1998.|bck
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|1|The coral bleaching is a different type they are bleached and coral bleaching.|50|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|2|The bleached is plain white.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|3|The coral polyps give different colors.|nd|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|4|The skeleton protects the body of polyp.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|5|The process requires both carbon dioxide and release oxygen.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|6|They know about changes wind, ocean currents and temperature.|v1|7 - 50
